Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Fransérgio,br BRA,MF,30.0,1.6,2.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,3.0,2.0,60.0,Matches,braga
Jean Gorby,fr FRA,MF,19.0,2.3,1.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,20.0,8.0,4.0,66.7,Matches,braga
Leonardo Buta,pt POR,DF,19.0,1.5,1.0,0.0,0.0,2.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,Matches,braga
Lukáš Horníček,cz CZE,GK,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,Matches,braga
Tiago Sá,pt POR,GK,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,Matches,braga
Roger Fernandes,gw GNB,"MF,DF",15.0,1.3,0.0,0.0,0.0,1.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,Matches,braga
Tiago Esgaio,pt POR,DF,25.0,0.8,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Matches,braga
Guilherme Araújo Soares,pt POR,DF,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,Matches,braga
Dinis Pinto,pt POR,MF,20.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,Matches,braga
Kobamelo Kodisang,za RSA,FW,21.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,braga
Rui Fonte,pt POR,DF,31.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,75.0,Matches,braga
Eduardo Soares,pt POR,FW,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,braga
Berna,pt POR,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,braga
Rúben Fernandes,pt POR,DF,35.0,32.8,3.0,1.0,0.0,10.0,11.0,3.0,2.0,30.0,3.0,0.0,0.0,0.0,122.0,61.0,44.0,58.1,Matches,gil vicente fc
Pedro Filipe Barbosa Moreira,pt POR,MF,28.0,32.0,7.0,0.0,0.0,45.0,76.0,1.0,141.0,28.0,38.0,0.0,0.0,0.0,237.0,21.0,28.0,42.9,Matches,gil vicente fc
Lucas Cunha,br BRA,DF,24.0,32.0,10.0,0.0,0.0,27.0,20.0,0.0,2.0,29.0,8.0,0.0,0.0,1.0,137.0,54.0,35.0,60.7,Matches,gil vicente fc
Kanya Fujimoto,jp JPN,"MF,FW",22.0,26.6,6.0,1.0,0.0,30.0,24.0,11.0,52.0,10.0,12.0,0.0,0.0,0.0,104.0,10.0,16.0,38.5,Matches,gil vicente fc
Talocha,pt POR,DF,31.0,30.9,6.0,0.0,0.0,39.0,21.0,2.0,48.0,29.0,18.0,0.0,0.0,1.0,123.0,58.0,38.0,60.4,Matches,gil vicente fc
