Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Valentin Carboni,ar ARG,"MF,DF",18-097,5,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,internazionale
Lucien Agoume,fr FRA,MF,21-121,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale
Ebenezer Akinsanmiro,ng NGA,MF,18-197,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale
Nikolaos Botis,gr GRE,GK,19-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale
Gabriel Brazão,br BRA,GK,22-248,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale
Dennis Curatolo,it ITA,FW,19-068,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale
Alessandro Fontanarosa,it ITA,DF,20-123,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale
Eddie Salcedo,it ITA,FW,21-252,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,internazionale
Fikayo Tomori,eng ENG,DF,25-173,33,32,2761.0,30.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.8,2.1,26.0,122.0,10.0,0.03,0.03,0.07,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches,milan
Sandro Tonali,it ITA,MF,23-033,34,30,2713.0,30.1,2.0,7.0,9.0,2.0,0.0,0.0,7.0,0.0,2.4,2.4,5.7,8.1,61.0,159.0,86.0,0.07,0.23,0.3,0.07,0.3,0.08,0.19,0.27,0.08,0.27,Matches,milan
Rafael Leão,pt POR,"FW,MF",24-000,35,28,2422.0,26.9,15.0,8.0,23.0,15.0,0.0,0.0,7.0,1.0,10.8,10.8,7.0,17.9,136.0,122.0,235.0,0.56,0.3,0.85,0.56,0.85,0.4,0.26,0.66,0.4,0.66,Matches,milan
Brahim Díaz,es ESP,"MF,FW",23-311,33,27,1927.0,21.4,6.0,7.0,13.0,6.0,0.0,0.0,3.0,0.0,6.0,6.0,5.6,11.5,80.0,121.0,116.0,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.54,0.28,0.54,Matches,milan
Pierre Kalulu,fr FRA,DF,23-005,34,26,2548.0,28.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,1.2,2.8,52.0,138.0,43.0,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.1,0.05,0.1,Matches,milan
Olivier Giroud,fr FRA,FW,36-253,33,25,2139.0,23.8,13.0,5.0,18.0,10.0,3.0,3.0,8.0,1.0,12.7,10.4,4.0,14.4,12.0,36.0,152.0,0.55,0.21,0.76,0.42,0.63,0.53,0.17,0.7,0.44,0.61,Matches,milan
Ismaël Bennacer,dz ALG,MF,25-191,28,24,2007.0,22.3,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,3.3,4.3,30.0,132.0,52.0,0.09,0.09,0.18,0.09,0.18,0.04,0.15,0.19,0.04,0.19,Matches,milan
Mike Maignan,fr FRA,GK,27-342,22,22,1978.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,Matches,milan
Davide Calabria,it ITA,DF,26-186,25,21,1689.0,18.8,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,1.7,2.9,26.0,108.0,80.0,0.05,0.21,0.27,0.05,0.27,0.06,0.09,0.15,0.06,0.15,Matches,milan
Junior Messias,br BRA,"FW,DF",32-028,25,19,1498.0,16.6,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,2.3,2.3,0.8,3.0,45.0,54.0,137.0,0.3,0.12,0.42,0.3,0.42,0.14,0.05,0.18,0.14,0.18,Matches,milan
